priority,category,target,domain,url,angle,status,next_action,primary_link,notes
P1,Podcast,Banking Transformed,evergreenpodcasts.com,https://podcasts.apple.com/us/podcast/banking-transformed-with-jim-marous/id1467807410,"Digital transformation, AI in banking and fintech operating models",draft_pitch,"Pitch guest angle to show/team",https://rzifi.com/blog/ai-in-payments-four-production-use-cases/,"Good fit for senior banking transformation angle."
P1,Association,The Payments Association,thepaymentsassociation.org,https://thepaymentsassociation.org/webinars/,"Webinar/panel on cross-border payments, AI, AML/CFT or fintech infrastructure",draft_pitch,"Apply for webinar/speaker opportunity",https://rzifi.com/product-work/fraud-risk-aml-cft/,"Association events can produce strong entity signal."
P1,Editorial,Fintech Insights,fintechinsights.net,https://fintechinsights.net/write-for-us/,"Guest article on fintech infrastructure or AI in regulated payments",vet_quality,"Check editorial quality before submitting",https://rzifi.com/blog/ai-in-payments-four-production-use-cases/,"Lower priority than tier-1 editorial."
P1,Editorial,Ecommerce Fastlane,ecommercefastlane.com,https://ecommercefastlane.com/write-for-us-fintech/,"Fintech/ecommerce payment operations and checkout conversion",vet_quality,"Review editorial standards before pitching",https://rzifi.com/product-work/daraz-payment-operations/,"Fit if angle is ecommerce payment conversion."
P1,Editorial,BusinessFirms Fintech,businessfirms.co,https://businessfirms.co/write-for-us-fintech,"Fintech infrastructure guest article",vet_quality,"Assess quality and backlink policy",https://rzifi.com/product-work/simpaisa-payment-infrastructure/,"Use only if editorial quality is acceptable."
P2,Profile,LinkedIn,linkedin.com,https://www.linkedin.com/in/rizwanzaffar,"Entity consistency and featured links",needs_update,"Update headline/about/featured links",https://rzifi.com/,"Use exact positioning from authority kit."
P2,Profile,GitHub,github.com,https://github.com/RizwanZafaris,"Entity consistency and portfolio link",needs_update,"Add rzifi.com and pinned repos",https://rzifi.com/,"Important for AI/entity confidence."
P2,Profile,Crunchbase,crunchbase.com,https://www.crunchbase.com/,"Executive/person profile if eligible",needs_account,"Create or claim person profile",https://rzifi.com/,"Use only if it can be accurate and maintained."
P2,Profile,Wellfound,wellfound.com,https://wellfound.com/,"Startup/operator profile",needs_account,"Create profile with website link",https://rzifi.com/resume/,"Useful for startup/recruiter discovery."
P2,Profile,Product Hunt,producthunt.com,https://www.producthunt.com/,"Maker profile for future jobhunt/product launches",needs_account,"Create/clean maker profile",https://rzifi.com/,"Best if tied to real product launch."
P2,Knowledge graph,Wikidata,wikidata.org,https://www.wikidata.org/,"Structured entity profile if notability and reliable sources are sufficient",blocked_until_sources,"Do not create until independent sources exist",https://rzifi.com/,"Avoid self-created weak entity without citations."
P2,Conference,Seamless Middle East,seamless-expo.com,https://www.seamless-expo.com/,"Speaker slot on payment infrastructure, digital commerce, fintech",research,"Check speaker submission window",https://rzifi.com/product-work/,"Regional fit."
P2,Conference,Dubai FinTech Summit,dubaifintechsummit.com,https://dubaifintechsummit.com/,"Speaker/panel on MENA fintech infrastructure",research,"Check next call for speakers",https://rzifi.com/for/,"High regional authority."
P2,Conference,Money20/20 Middle East,money2020.com,https://www.money2020.com/,"Speaker/panel on payments infrastructure and AI",research,"Check speaker application",https://rzifi.com/product-work/cross-border-corridors-fx/,"High authority but competitive."
P2,Community,This Week in Fintech,thisweekinfintech.com,https://www.thisweekinfintech.com/,"Newsletter/community contribution on MENA payments",research,"Find contributor/editorial path",https://rzifi.com/blog/ai-in-payments-four-production-use-cases/,"Good fintech audience."

